quote,author,tags
beyourselfeveryoneelseisalreadytaken.,Oscar Wilde,"['be-yourself', 'gilbert-perreira', 'honesty', 'inspirational', 'misattributed-oscar-wilde', 'quote-investigator']"
"imselfish,impatientandalittleinsecure.imakemistakes,iamoutofcontrolandattimeshardtohandle.butifyoucanthandlemeatmyworst,thenyousureashelldontdeservemeatmybest.",Marilyn Monroe,"['best', 'life', 'love', 'mistakes', 'out-of-control', 'truth', 'worst']"
twothingsareinfinitetheuniverseandhumanstupidityandimnotsureabouttheuniverse.,Albert Einstein,"['human-nature', 'humor', 'infinity', 'philosophy', 'science', 'stupidity', 'universe']"
"somanybooks,solittletime.",Frank Zappa,"['books', 'humor']"
aroomwithoutbooksislikeabodywithoutasoul.,Marcus Tullius Cicero,"['books', 'simile', 'soul']"
"bewhoyouareandsaywhatyoufeel,becausethosewhominddontmatter,andthosewhomatterdontmind.",Bernard M. Baruch,"['ataraxy', 'be-yourself', 'confidence', 'fitting-in', 'individuality', 'misattributed-dr-seuss', 'those-who-matter']"
"youvegottadanceliketheresnobodywatching,lovelikeyoullneverbehurt,singliketheresnobodylistening,andlivelikeitsheavenonearth.",William W. Purkey,"['dance', 'heaven', 'hurt', 'inspirational', 'life', 'love', 'sing']"
youknowyoureinlovewhenyoucantfallasleepbecauserealityisfinallybetterthanyourdreams.,Dr. Seuss,"['dreams', 'love', 'reality', 'sleep']"
"youonlyliveonce,butifyoudoitright,onceisenough.",Mae West,"['humor', 'life']"
bethechangethatyouwishtoseeintheworld.,Mahatma Gandhi,"['action', 'change', 'inspirational', 'philosophy', 'wish']"
inthreewordsicansumupeverythingivelearnedaboutlifeitgoeson.,Robert Frost,['life']
"ifyouwanttoknowwhatamanslike,takeagoodlookathowhetreatshisinferiors,nothisequals.","J.K. Rowling,","['character', 'sirius-black']"
dontwalkinfrontofmeimaynotfollowdontwalkbehindmeimaynotleadwalkbesidemejustbemyfriend,Albert Camus,"['friends', 'friendship', 'misattributed-albert-camus']"
"ifyoutellthetruth,youdonthavetorememberanything.",Mark Twain,"['lies', 'lying', 'memory', 'truth']"
friendship...isbornatthemomentwhenonemansaystoanotherwhatyoutooithoughtthatnoonebutmyself...,"C.S. Lewis,",['friendship']
afriendissomeonewhoknowsallaboutyouandstilllovesyou.,Elbert Hubbard,"['friend', 'friendship', 'knowledge', 'love']"
alwaysforgiveyourenemiesnothingannoysthemsomuch.,Oscar Wilde,"['enemies', 'forgiveness', 'strategy']"
"toliveistherarestthingintheworld.mostpeopleexist,thatisall.",Oscar Wilde,['life']
liveasifyouweretodietomorrow.learnasifyouweretoliveforever.,Mahatma Gandhi,"['carpe-diem', 'education', 'inspirational', 'learning']"
darknesscannotdriveoutdarknessonlylightcandothat.hatecannotdriveouthateonlylovecandothat.,"Martin Luther King Jr.,","['darkness', 'drive-out', 'hate', 'inspirational', 'light', 'love', 'peace']"
"withoutmusic,lifewouldbeamistake.","Friedrich Nietzsche,","['inspirational', 'music', 'philosophy']"
weacceptthelovewethinkwedeserve.,"Stephen Chbosky,","['inspirational', 'love']"
iamsocleverthatsometimesidontunderstandasinglewordofwhatiamsaying.,"Oscar Wilde,","['intelligence', 'self-deprecation']"
tobeyourselfinaworldthatisconstantlytryingtomakeyousomethingelseisthegreatestaccomplishment.,Ralph Waldo Emerson,"['accomplishment', 'be-yourself', 'conformity', 'individuality']"
"herestothecrazyones.themisfits.therebels.thetroublemakers.theroundpegsinthesquareholes.theoneswhoseethingsdifferently.theyrenotfondofrules.andtheyhavenorespectforthestatusquo.youcanquotethem,disagreewiththem,glorifyorvilifythem.abouttheonlythingyoucantdoisignorethem.becausetheychangethings.theypushthehumanraceforward.andwhilesomemayseethemasthecrazyones,weseegenius.becausethepeoplewhoarecrazyenoughtothinktheycanchangetheworld,aretheoneswhodo.",Rob Siltanen,"['advertising', 'apple', 'change', 'commercial', 'computers', 'different', 'madness', 'misattributed-apple', 'misattributed-steve-jobs', 'misfits', 'nonconformity', 'progressive', 'rebels', 'status-quo', 'think-different', 'troublemakers']"
"insanityisdoingthesamething,overandoveragain,butexpectingdifferentresults.",Narcotics Anonymous,"['humor', 'insanity', 'life', 'misattributed-ben-franklin', 'misattributed-mark-twain', 'misattributed-to-einstein']"
"ibelievethateverythinghappensforareason.peoplechangesothatyoucanlearntoletgo,thingsgowrongsothatyouappreciatethemwhentheyreright,youbelieveliessoyoueventuallylearntotrustnoonebutyourself,andsometimesgoodthingsfallapartsobetterthingscanfalltogether.",Marilyn Monroe,['misattributed-marilyn-monroe']
twentyyearsfromnowyouwillbemoredisappointedbythethingsthatyoudidntdothanbytheonesyoudiddo.sothrowoffthebowlines.sailawayfromthesafeharbor.catchthetradewindsinyoursails.explore.dream.discover.,"H. Jackson Brown Jr.,","['actions', 'disappointed', 'disappointment', 'dream', 'dreams', 'explore', 'misattributed-mark-twain', 'sail']"
itisbettertobehatedforwhatyouarethantobelovedforwhatyouarenot.,"Andre Gide,","['life', 'love']"
"onlyonceinyourlife,itrulybelieve,youfindsomeonewhocancompletelyturnyourworldaround.youtellthemthingsthatyouveneversharedwithanothersoulandtheyabsorbeverythingyousayandactuallywanttohearmore.yousharehopesforthefuture,dreamsthatwillnevercometrue,goalsthatwereneverachievedandthemanydisappointmentslifehasthrownatyou.whensomethingwonderfulhappens,youcantwaittotellthemaboutit,knowingtheywillshareinyourexcitement.theyarenotembarrassedtocrywithyouwhenyouarehurtingorlaughwithyouwhenyoumakeafoolofyourself.neverdotheyhurtyourfeelingsormakeyoufeellikeyouarenotgoodenough,butrathertheybuildyouupandshowyouthethingsaboutyourselfthatmakeyouspecialandevenbeautiful.thereisneveranypressure,jealousyorcompetitionbutonlyaquietcalmnesswhentheyarearound.youcanbeyourselfandnotworryaboutwhattheywillthinkofyoubecausetheyloveyouforwhoyouare.thethingsthatseeminsignificanttomostpeoplesuchasanote,songorwalkbecomeinvaluabletreasureskeptsafeinyourhearttocherishforever.memoriesofyourchildhoodcomebackandaresoclearandvividitslikebeingyoungagain.coloursseembrighterandmorebrilliant.laughterseemspartofdailylifewherebeforeitwasinfrequentordidntexistatall.aphonecallortwoduringthedayhelpstogetyouthroughalongdaysworkandalwaysbringsasmiletoyourface.intheirpresence,theresnoneedforcontinuousconversation,butyoufindyourequitecontentinjusthavingthemnearby.thingsthatneverinterestedyoubeforebecomefascinatingbecauseyouknowtheyareimportanttothispersonwhoissospecialtoyou.youthinkofthispersononeveryoccasionandineverythingyoudo.simplethingsbringthemtomindlikeapalebluesky,gentlewindorevenastormcloudonthehorizon.youopenyourheartknowingthattheresachanceitmaybebrokenonedayandinopeningyourheart,youexperiencealoveandjoythatyouneverdreamedpossible.youfindthatbeingvulnerableistheonlywaytoallowyourhearttofeeltruepleasurethatssorealitscaresyou.youfindstrengthinknowingyouhaveatruefriendandpossiblyasoulmatewhowillremainloyaltotheend.lifeseemscompletelydifferent,excitingandworthwhile.youronlyhopeandsecurityisinknowingthattheyareapartofyourlife.",Bob Marley,['love']
"allthatisgolddoesnotglitter,notallthosewhowanderarelosttheoldthatisstrongdoesnotwither,deeprootsarenotreachedbythefrost.fromtheashesafireshallbewoken,alightfromtheshadowsshallspringrenewedshallbebladethatwasbroken,thecrownlessagainshallbeking.","J.R.R. Tolkien,","['frost', 'glitter', 'gold', 'lost', 'poetry', 'roots', 'strength', 'strong', 'wander', 'wither']"
"itisourchoices,harry,thatshowwhatwetrulyare,farmorethanourabilities.","J.K. Rowling,","['abilities', 'choices']"
"theperson,beitgentlemanorlady,whohasnotpleasureinagoodnovel,mustbeintolerablystupid.","Jane Austen,","['aliteracy', 'books', 'classic', 'humor']"
"imperfectionisbeauty,madnessisgeniusanditsbettertobeabsolutelyridiculousthanabsolutelyboring.",Marilyn Monroe,"['be-yourself', 'inspirational']"
thereareonlytwowaystoliveyourlife.oneisasthoughnothingisamiracle.theotherisasthougheverythingisamiracle.,Albert Einstein,"['inspirational', 'life', 'live', 'miracle', 'miracles']"
itdoesnotdotodwellondreamsandforgettolive.,"J.K. Rowling,","['dreams', 'life']"
"goodfriends,goodbooks,andasleepyconsciencethisistheideallife.",Mark Twain,"['books', 'contentment', 'friends', 'friendship', 'life']"
"asheread,ifellinlovethewayyoufallasleepslowly,andthenallatonce.","John Green,",['love']
"weareallinthegutter,butsomeofusarelookingatthestars.","Oscar Wilde,","['inspirational', 'optimism', 'perception', 'pessimism']"
"fairytalesaremorethantruenotbecausetheytellusthatdragonsexist,butbecausetheytellusthatdragonscanbebeaten.","Neil Gaiman,","['books', 'dragons', 'fairy-tales', 'inspirational', 'paraphrasing-g-k-chesterton']"
"itisbettertoremainsilentattheriskofbeingthoughtafool,thantotalkandremovealldoubtofit.","Maurice Switzer,","['misattributed-to-abraham-lincoln', 'misattributed-to-mark-twain', 'remaining-silent', 'wisdom']"
"thefooldoththinkheiswise,butthewisemanknowshimselftobeafool.","William Shakespeare,",['wisdom']
"wheneveryoufindyourselfonthesideofthemajority,itistimetoreformorpauseandreflect.",Mark Twain,"['individuality', 'majority', 'minority', 'pause', 'reflect', 'wisdom']"
lifeiswhathappenstouswhilewearemakingotherplans.,Allen Saunders,"['fate', 'life', 'misattributed-john-lennon', 'planning', 'plans']"
"yesterdayishistory,tomorrowisamystery,todayisagiftofgod,whichiswhywecallitthepresent.",Bill Keane,"['hope', 'inspirational', 'misattributed-eleanor-roosevelt', 'past', 'present', 'widely-misattributed']"
"ihavenotfailed.ivejustfound10,000waysthatwontwork.",Thomas A. Edison,"['edison', 'failure', 'inspirational', 'paraphrased']"
"itisnotalackoflove,butalackoffriendshipthatmakesunhappymarriages.",Friedrich Nietzsche,"['friendship', 'lack-of-friendship', 'lack-of-love', 'love', 'marriage', 'unhappy-marriage']"
"theoppositeofloveisnothate,itsindifference.theoppositeofartisnotugliness,itsindifference.theoppositeoffaithisnotheresy,itsindifference.andtheoppositeoflifeisnotdeath,itsindifference.",Elie Wiesel,"['activism', 'apathy', 'hate', 'indifference', 'inspirational', 'love', 'opposite', 'philosophy']"
awomanislikeateabagyouneverknowhowstrongitisuntilitsinhotwater.,Eleanor Roosevelt,['misattributed-eleanor-roosevelt']
themanwhodoesnotreadhasnoadvantageoverthemanwhocannotread.,Mark Twain,"['aliteracy', 'literacy']"
ifyoudontstandforsomethingyouwillfallforanything.,Gordon A. Eadie,"['belief', 'integrity', 'misattributed-to-malcolm-x', 'misattributed-to-rosa-parks']"
"imaynothavegonewhereiintendedtogo,butithinkihaveendedupwhereineededtobe.","douglas adams,","['life', 'navigation']"
"iloveyouwithoutknowinghow,orwhen,orfromwhere.iloveyousimply,withoutproblemsorprideiloveyouinthiswaybecauseidonotknowanyotherwayoflovingbutthis,inwhichthereisnoioryou,sointimatethatyourhanduponmychestismyhand,sointimatethatwhenifallasleepyoureyesclose.","Pablo Neruda,","['love', 'poetry']"
isolemnlyswearthatiamuptonogood.,"J.K. Rowling,",['mischief']
"outsideofadog,abookismansbestfriend.insideofadogitstoodarktoread.","Groucho Marx,","['animals', 'books', 'dogs', 'friends', 'humor']"
iamenoughofanartisttodrawfreelyuponmyimagination.imaginationismoreimportantthanknowledge.knowledgeislimited.imaginationencirclestheworld.,Albert Einstein,"['1929', 'imagination', 'inspirational', 'viereck-interview']"
"loveall,trustafew,dowrongtonone.","William Shakespeare,","['do-wrong', 'love', 'trust', 'wrong']"
"ilikenonsense,itwakesupthebraincells.fantasyisanecessaryingredientinliving.",Dr. Seuss,['fantasy']
haveyoueverbeeninlovehorribleisntititmakesyousovulnerable.itopensyourchestanditopensupyourheartanditmeansthatsomeonecangetinsideyouandmessyouup.,"Neil Gaiman,",['love']
"adaywithoutsunshineislike,youknow,night.",Steve Martin,"['humor', 'obvious', 'simile']"
"areaderlivesathousandlivesbeforehedies,saidjojen.themanwhoneverreadslivesonlyone.","George R.R. Martin,","['read', 'readers', 'reading', 'reading-books']"
neverputofftilltomorrowwhatmaybedonedayaftertomorrowjustaswell.,Mark Twain,"['humor', 'procrastination']"
youhavebrainsinyourhead.youhavefeetinyourshoes.youcansteeryourselfanydirectionyouchoose.youreonyourown.andyouknowwhatyouknow.andyouaretheonewholldecidewheretogo...,"Dr. Seuss,",['inspirational']
thatwhichdoesnotkillusmakesusstronger.,Friedrich Nietzsche,"['paraphrased', 'strength']"
"beingdeeplylovedbysomeonegivesyoustrength,whilelovingsomeonedeeplygivesyoucourage.",Lao Tzu,"['courage', 'deeply-loved', 'love', 'strength', 'widely-misattributed']"
itisnevertoolatetobewhatyoumighthavebeen.,George Eliot,"['inspirational', 'source-unknown']"
foreveryminuteyouareangryyoulosesixtysecondsofhappiness.,Ralph Waldo Emerson,['happiness']
"ittakesagreatdealofbraverytostanduptoourenemies,butjustasmuchtostanduptoourfriends.","J.K. Rowling,","['albus-dumbledore', 'courage', 'friends']"
"thislifeiswhatyoumakeit.nomatterwhat,youregoingtomessupsometimes,itsauniversaltruth.butthegoodpartisyougettodecidehowyouregoingtomessitup.girlswillbeyourfriendstheyllactlikeitanyway.butjustremember,somecome,somego.theonesthatstaywithyouthrougheverythingtheyreyourtruebestfriends.dontletgoofthem.alsoremember,sistersmakethebestfriendsintheworld.asforlovers,well,theyllcomeandgotoo.andbaby,ihatetosayit,mostofthemactuallyprettymuchallofthemaregoingtobreakyourheart,butyoucantgiveupbecauseifyougiveup,youllneverfindyoursoulmate.youllneverfindthathalfwhomakesyouwholeandthatgoesforeverything.justbecauseyoufailonce,doesntmeanyouregonnafailateverything.keeptrying,holdon,andalways,always,alwaysbelieveinyourself,becauseifyoudont,thenwhowill,sweetiesokeepyourheadhigh,keepyourchinup,andmostimportantly,keepsmiling,becauselifesabeautifulthingandtheressomuchtosmileabout.",Marilyn Monroe,"['friends', 'heartbreak', 'inspirational', 'life', 'love', 'sisters']"
ilovedeadlines.ilovethewhooshingnoisetheymakeastheygoby.,"Douglas Adams,","['deadlines', 'humor', 'humour', 'work', 'writing']"
"ifyoujudgepeople,youhavenotimetolovethem.",Mother Teresa,[]
